model,factor,level,total,anomalies,normals,recall,fpr,abstention_rate,recall_effect_vs_overall,fpr_effect_vs_overall,interpretation
C3,region_x_season,suyeong:autumn,36,18,18,0.72222222,0.11111111,0.00000000,0.02314815,0.00925926,controlled_generated_factor_effect_not_actual_region_effect
C3,region_x_season,suyeong:spring,36,18,18,0.72222222,0.05555556,0.00000000,0.02314815,-0.04629630,controlled_generated_factor_effect_not_actual_region_effect
C3,region_x_season,suyeong:summer,36,18,18,0.66666667,0.05555556,0.05555556,-0.03240741,-0.04629630,controlled_generated_factor_effect_not_actual_region_effect
C3,region_x_season,suyeong:winter,36,18,18,0.72222222,0.11111111,0.00000000,0.02314815,0.00925926,controlled_generated_factor_effect_not_actual_region_effect
C3,feature_availability,complete,67,37,30,0.70270270,0.06666667,0.00000000,0.00362863,-0.03518519,controlled_generated_factor_effect_not_actual_region_effect
C3,feature_availability,load_phase_unavailable_no_imputation,47,22,25,0.68181818,0.16000000,0.02127660,-0.01725589,0.05814815,controlled_generated_factor_effect_not_actual_region_effect
C3,feature_availability,load_unavailable,66,32,34,0.71875000,0.11764706,0.01515152,0.01967593,0.01579521,controlled_generated_factor_effect_not_actual_region_effect
C3,feature_availability,load_unavailable_no_imputation,51,33,18,0.66666667,0.11111111,0.05882353,-0.03240741,0.00925926,controlled_generated_factor_effect_not_actual_region_effect
C3,feature_availability,load_weather_unavailable_no_imputation,46,17,29,0.64705882,0.06896552,0.04347826,-0.05201525,-0.03288633,controlled_generated_factor_effect_not_actual_region_effect
C3,feature_availability,phase_unavailable,72,36,36,0.69444444,0.08333333,0.01388889,-0.00462963,-0.01851852,controlled_generated_factor_effect_not_actual_region_effect
C3,feature_availability,weather_unavailable,83,39,44,0.74358974,0.11363636,0.00000000,0.04451567,0.01178451,controlled_generated_factor_effect_not_actual_region_effect
C3,scenario_type,allowed_partial_operation,36,0,36,,0.00000000,0.00000000,,-0.10185185,controlled_generated_factor_effect_not_actual_region_effect
C3,scenario_type,deep_day_full_activation,24,24,0,0.58333333,,0.00000000,-0.11574074,,controlled_generated_factor_effect_not_actual_region_effect
C3,scenario_type,deep_day_partial_activation,36,36,0,0.66666667,,0.00000000,-0.03240741,,controlled_generated_factor_effect_not_actual_region_effect
C3,scenario_type,feature_missing_normal,24,0,24,,0.00000000,0.00000000,,-0.10185185,controlled_generated_factor_effect_not_actual_region_effect
C3,scenario_type,high_cloud_or_rainfall_hard_negative,24,0,24,,0.91666667,0.04166667,,0.81481481,controlled_generated_factor_effect_not_actual_region_effect
C3,scenario_type,moderate_load_mismatch,24,24,0,0.50000000,,0.00000000,-0.19907407,,controlled_generated_factor_effect_not_actual_region_effect
C3,scenario_type,normal_full_operation,36,0,36,,0.00000000,0.00000000,,-0.10185185,controlled_generated_factor_effect_not_actual_region_effect
C3,scenario_type,partial_activation_long_persistence,24,24,0,0.79166667,,0.20833333,0.09259259,,controlled_generated_factor_effect_not_actual_region_effect
C3,scenario_type,phase_anomaly_moderate_activation,24,24,0,1.00000000,,0.00000000,0.30092593,,controlled_generated_factor_effect_not_actual_region_effect
C3,scenario_type,phase_selective_activation,24,24,0,0.50000000,,0.00000000,-0.19907407,,controlled_generated_factor_effect_not_actual_region_effect
C3,scenario_type,post_sunrise_persistent_activation,36,36,0,0.61111111,,0.05555556,-0.08796296,,controlled_generated_factor_effect_not_actual_region_effect
C3,scenario_type,short_transient_spike,36,0,36,,0.00000000,0.00000000,,-0.10185185,controlled_generated_factor_effect_not_actual_region_effect
C3,scenario_type,temporary_load_fluctuation,24,0,24,,0.00000000,0.00000000,,-0.10185185,controlled_generated_factor_effect_not_actual_region_effect
C3,scenario_type,twilight_boundary_operation,36,0,36,,0.00000000,0.00000000,,-0.10185185,controlled_generated_factor_effect_not_actual_region_effect
C3,scenario_type,weak_long_duration_activation,24,24,0,1.00000000,,0.00000000,0.30092593,,controlled_generated_factor_effect_not_actual_region_effect
C3,severity,moderate,71,71,0,1.00000000,,0.00000000,0.30092593,,controlled_generated_factor_effect_not_actual_region_effect
C3,severity,none,216,0,216,,0.10185185,0.00462963,,0.00000000,controlled_generated_factor_effect_not_actual_region_effect
C3,severity,strong,73,73,0,1.00000000,,0.00000000,0.30092593,,controlled_generated_factor_effect_not_actual_region_effect
C3,severity,weak,72,72,0,0.09722222,,0.09722222,-0.60185185,,controlled_generated_factor_effect_not_actual_region_effect
