dimension,group,count,mean_days,median_days,p75_days,p90_days,p95_days,same_day_rate,within_1d_rate,within_3d_rate,within_7d_rate
month,2020-08,1664,1.3227163461538463,0.0,1.0,5.0,9.0,0.7445913461538461,0.7992788461538461,0.8653846153846154,0.9429086538461539
month,2020-09,1498,2.3598130841121496,0.0,1.0,11.0,17.0,0.7249666221628839,0.7930574098798397,0.8237650200267023,0.8624833110814419
month,2020-10,1286,1.3639191290824262,0.0,1.0,5.0,9.0,0.7177293934681181,0.8265940902021773,0.8701399688958009,0.9354587869362364
month,2020-11,1072,1.712686567164179,0.0,1.0,7.0,9.0,0.6847014925373134,0.7546641791044776,0.8255597014925373,0.9160447761194029
month,2020-12,1119,1.4352100089365505,0,2.0,5.2000000000000455,8.0,0.6282394995531725,0.7327971403038427,0.837354781054513,0.9490616621983914
month,2021-01,1204,2.398671096345515,0.0,3.0,7.0,12.849999999999909,0.5647840531561462,0.7018272425249169,0.7674418604651163,0.920265780730897
month,2021-02,1120,1.4035714285714285,0.0,1.0,5.0,8.0,0.65,0.7580357142857143,0.8607142857142858,0.9491071428571428
month,2021-03,1497,1.5123580494321978,0,2.0,5.0,7.0,0.6466265865063461,0.7468269873079493,0.843687374749499,0.9612558450233801
month,2021-04,1708,1.2195550351288056,0.0,0.0,5.0,8.0,0.7546838407494145,0.819672131147541,0.8770491803278688,0.9473067915690867
month,2021-05,1750,1.6462857142857144,0.0,0.0,7.100000000000136,12.0,0.7948571428571428,0.836,0.8651428571428571,0.9
month,2021-06,1550,1.4412903225806453,0.0,1.0,6.0,9.0,0.7406451612903225,0.8129032258064516,0.8561290322580645,0.9341935483870968
month,2021-07,1626,1.8425584255842558,0.0,0.0,7.0,12.0,0.7570725707257072,0.8173431734317343,0.8530135301353013,0.9206642066420664
month,2021-08,1439,2.1917998610145935,0,0.0,7.2000000000000455,16.0,0.7748436414176512,0.8457261987491314,0.8735232800555942,0.8999305072967339
month,2021-09,1374,2.346433770014556,0.0,1.0,8.0,15.0,0.7409024745269287,0.789665211062591,0.8347889374090247,0.8842794759825328
month,2021-10,1299,2.206312548113934,0,1.0,9.0,15.0,0.7351809083910701,0.8029253271747498,0.829869130100077,0.8845265588914549
month,2021-11,1600,2.70875,0.0,1.0,8.0,21.0,0.71125,0.776875,0.83875,0.898125
month,2021-12,1425,2.423859649122807,0,2.0,10.0,12.0,0.6421052631578947,0.7073684210526315,0.7656140350877193,0.8533333333333334
