cabinet_uid,municipality_id,source_cabinet_key,cabinet_name,latitude,longitude,fixture_rows,lamp_count,rated_power_w,controller_type,controller_link_status,address,source_file
SY-CAB-3d620570ac,suyeong,남천동로-2 (36),남천동로-2 (36),35.140721155,129.11333435,36,36,4500.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-4701a959c6,suyeong,남천동로-3 (23),남천동로-3 (23),35.14170237,129.1135114,23,23,2950.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-aac150345f,suyeong,남천동로-4 (25),남천동로-4 (25),35.14488754,129.112374,25,25,3260.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-ba3d522445,suyeong,남천동로10-1 (32),남천동로10-1 (32),35.14110411,129.10907450000002,32,32,3775.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-a68df7d176,suyeong,남천동로9-1 (13),남천동로9-1 (13),35.1439992,129.1108056,13,13,1755.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-f3764d2d5a,suyeong,남천바다로-1 (14),남천바다로-1 (14),35.149599574999996,129.1124056,28,28,2100.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-b30f5cbde4,suyeong,남천바다로33-1  (20),남천바다로33-1  (20),35.151225005,129.11607285,20,20,2000.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-8f5ef9ce69,suyeong,남천수변공원 불꽃놀이 (13),남천수변공원 불꽃놀이 (13),35.14622102,129.1160662,13,13,1040.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-e20a3be758,suyeong,남천자이공원-1 (13),남천자이공원-1 (13),35.14108167,129.1122034,13,13,650.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-92de49aa37,suyeong,널구지공원 (11),널구지공원 (11),35.16316966,129.1289966,11,12,900.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
