controller_uid,municipality_id,cabinet_uid,company_code,cabinet_code,cabinet_seq,operation_mode,switch_model,modem_type,modem_id,on_offset_min,off_offset_min,voltage_setting,sequential_control,forced_time,latitude,longitude,address,source_file,source_row
GN-CTL-75784fdea3,gangneung,GN-CAB-75784fdea3,KNC,YB,37,0,GMC-200S,3,37,-20.0,5.0,220.0,1,5,37.7947922,128.8530807,강원특별자치도 강릉시 대전동 913,강원특별자치도 강릉시_분전함_20230820.csv,86
GN-CTL-06a4b673fa,gangneung,GN-CAB-06a4b673fa,KNI,YB,37,0,GMC-200,3,37,-15.0,10.0,220.0,1,100,37.7946683,128.8534248,강원특별자치도 강릉시 대전동 916-1,강원특별자치도 강릉시_분전함_20230820.csv,87
GN-CTL-5e9a051df5,gangneung,GN-CAB-5e9a051df5,KNI,YB,38,0,GMC-200,3,38,-15.0,10.0,220.0,1,100,37.7958341,128.85295,강원특별자치도 강릉시 대전동 916-2,강원특별자치도 강릉시_분전함_20230820.csv,88
GN-CTL-ba1f47a2a3,gangneung,GN-CAB-ba1f47a2a3,KNC,YB,38,0,GMC-200S,3,38,-20.0,5.0,220.0,1,5,37.7958123,128.8527367,강원특별자치도 강릉시 대전동 916-1,강원특별자치도 강릉시_분전함_20230820.csv,89
GN-CTL-6f7d6165c5,gangneung,GN-CAB-6f7d6165c5,KNI,YB,39,0,GMC-200,3,39,-15.0,10.0,220.0,1,60,37.7983323,128.8526154,강원특별자치도 강릉시 대전동 915-2,강원특별자치도 강릉시_분전함_20230820.csv,90
GN-CTL-f864c99f92,gangneung,GN-CAB-f864c99f92,KNC,YB,39,0,GMC-200S,3,39,-20.0,5.0,220.0,1,5,37.7984878,128.8526325,강원특별자치도 강릉시 대전동 915-2,강원특별자치도 강릉시_분전함_20230820.csv,91
GN-CTL-31dbda92f1,gangneung,GN-CAB-31dbda92f1,KNI,YB,40,0,GMC-200,3,0,-15.0,10.0,220.0,1,60,37.7462227,128.8629776,강원특별자치도 강릉시 홍제동 783-2,강원특별자치도 강릉시_분전함_20230820.csv,92
GN-CTL-cb677e3a6a,gangneung,GN-CAB-cb677e3a6a,KNC,YB,40,0,GMC-200,3,0,-20.0,5.0,220.0,1,39,37.7462201,128.8630258,강원특별자치도 강릉시 홍제동 783-6,강원특별자치도 강릉시_분전함_20230820.csv,93
GN-CTL-a5cb6dff70,gangneung,GN-CAB-a5cb6dff70,KNC,YB,41,0,GMC-200S,3,41,-20.0,5.0,220.0,1,5,37.8028592,128.8544661,강원특별자치도 강릉시 대전동 895,강원특별자치도 강릉시_분전함_20230820.csv,94
GN-CTL-e28944d3d0,gangneung,GN-CAB-e28944d3d0,KNI,YB,41,0,GMC-200,3,41,-15.0,10.0,220.0,1,100,37.8030472,128.8547478,강원특별자치도 강릉시 대전동 897-2,강원특별자치도 강릉시_분전함_20230820.csv,95
GN-CTL-f20bc9145a,gangneung,GN-CAB-f20bc9145a,KNC,YB,42,0,GMC-200,3,42,-20.0,5.0,220.0,1,5,37.8026176,128.8574008,강원특별자치도 강릉시 대전동 902-4,강원특별자치도 강릉시_분전함_20230820.csv,96
GN-CTL-c8868e5480,gangneung,GN-CAB-c8868e5480,KNI,YB,42,0,GMC-200,3,42,-15.0,10.0,220.0,1,100,37.8025462,128.8567293,강원특별자치도 강릉시 대전동 902-4,강원특별자치도 강릉시_분전함_20230820.csv,97
GN-CTL-2de3bb861f,gangneung,GN-CAB-2de3bb861f,KNC,YB,43,0,GMC-200S,3,43,-20.0,5.0,220.0,1,60,37.8043919,128.8577215,강원특별자치도 강릉시 대전동 898-1,강원특별자치도 강릉시_분전함_20230820.csv,98
GN-CTL-a94363cd09,gangneung,GN-CAB-a94363cd09,KNI,YB,43,0,GMC-200,3,43,-15.0,10.0,220.0,1,100,37.8043841,128.8579883,강원특별자치도 강릉시 대전동 898-2,강원특별자치도 강릉시_분전함_20230820.csv,99
GN-CTL-2b5c162b1a,gangneung,GN-CAB-2b5c162b1a,KNC,YB,44,0,GMC-200S,3,44,-20.0,5.0,220.0,1,5,37.8076224,128.8538466,강원특별자치도 강릉시 사천면 방동리 804-3,강원특별자치도 강릉시_분전함_20230820.csv,100
GN-CTL-d9224331d4,gangneung,GN-CAB-d9224331d4,KNI,YB,44,0,GMC-200,3,44,-15.0,10.0,220.0,1,100,37.8076395,128.8539037,강원특별자치도 강릉시 사천면 방동리 804-1,강원특별자치도 강릉시_분전함_20230820.csv,101
GN-CTL-9bdba64dce,gangneung,GN-CAB-9bdba64dce,KNC,YB,45,0,GMC-200S,3,45,-20.0,5.0,220.0,0,10,37.8069771,128.8533055,강원특별자치도 강릉시 사천면 방동리 496,강원특별자치도 강릉시_분전함_20230820.csv,102
GN-CTL-c8d1f3e9aa,gangneung,GN-CAB-c8d1f3e9aa,KNI,YB,45,0,GMC-200,3,45,-15.0,10.0,220.0,0,100,37.8069771,128.8533055,강원특별자치도 강릉시 사천면 방동리 496,강원특별자치도 강릉시_분전함_20230820.csv,103
GN-CTL-f3755d448b,gangneung,GN-CAB-f3755d448b,KNC,YB,46,0,GMC-200S,3,46,-20.0,5.0,220.0,1,5,37.8101992,128.8544642,강원특별자치도 강릉시 사천면 방동리 801-2,강원특별자치도 강릉시_분전함_20230820.csv,104
GN-CTL-6142690f19,gangneung,GN-CAB-6142690f19,KNI,YB,46,0,GMC-200,3,46,-15.0,-10.0,220.0,1,60,37.8101849,128.8545122,강원특별자치도 강릉시 사천면 방동리 801-2,강원특별자치도 강릉시_분전함_20230820.csv,105
GN-CTL-911c4ed76a,gangneung,GN-CAB-911c4ed76a,KNI,YB,47,0,GMC-200,3,47,-15.0,10.0,220.0,1,60,37.8090006,128.8563043,강원특별자치도 강릉시 사천면 방동리 802,강원특별자치도 강릉시_분전함_20230820.csv,106
GN-CTL-a6082ef9cb,gangneung,GN-CAB-a6082ef9cb,KNC,YB,47,0,GMC-200S,3,47,-20.0,5.0,220.0,1,5,37.8088531,128.8562193,강원특별자치도 강릉시 사천면 방동리 804-2,강원특별자치도 강릉시_분전함_20230820.csv,107
GN-CTL-9dd39c91d6,gangneung,GN-CAB-9dd39c91d6,KNI,YB,48,0,GMC-200,3,48,-15.0,10.0,220.0,1,100,37.810137,128.857385,강원특별자치도 강릉시 사천면 방동리 산143-5,강원특별자치도 강릉시_분전함_20230820.csv,108
GN-CTL-4606c9db7a,gangneung,GN-CAB-4606c9db7a,KNC,YB,48,0,GMC-200,3,48,-20.0,5.0,220.0,1,40,37.810063,128.8575909,강원특별자치도 강릉시 사천면 방동리 산143-5,강원특별자치도 강릉시_분전함_20230820.csv,109
GN-CTL-d9c883974e,gangneung,GN-CAB-d9c883974e,KNC,YB,49,0,GMC-200S,3,49,-20.0,5.0,220.0,1,40,37.8124622,128.8560887,강원특별자치도 강릉시 사천면 방동리 600-2,강원특별자치도 강릉시_분전함_20230820.csv,110
GN-CTL-7f78a1f203,gangneung,GN-CAB-7f78a1f203,KNI,YB,49,0,GMC-200,3,49,-15.0,10.0,220.0,1,100,37.8124714,128.8560491,강원특별자치도 강릉시 사천면 방동리 710,강원특별자치도 강릉시_분전함_20230820.csv,111
GN-CTL-d5dfd9efbd,gangneung,GN-CAB-d5dfd9efbd,KNI,YB,50,0,GMC-200,3,50,-15.0,10.0,220.0,1,100,37.8099607,128.858087,강원특별자치도 강릉시 사천면 방동리 589,강원특별자치도 강릉시_분전함_20230820.csv,112
GN-CTL-62abbca8e1,gangneung,GN-CAB-62abbca8e1,KNC,YB,50,0,GMC-200S,3,50,-20.0,5.0,220.0,1,60,37.8097623,128.8581232,강원특별자치도 강릉시 사천면 방동리 589,강원특별자치도 강릉시_분전함_20230820.csv,113
GN-CTL-3962748998,gangneung,GN-CAB-3962748998,KNC,YB,51,0,GMC-200S,3,51,-20.0,5.0,220.0,1,10,37.8096796,128.8586657,강원특별자치도 강릉시 사천면 방동리 594,강원특별자치도 강릉시_분전함_20230820.csv,114
GN-CTL-03887775fa,gangneung,GN-CAB-03887775fa,KNI,YB,51,0,GMC-200,3,51,-15.0,10.0,220.0,1,100,37.8097042,128.8586633,강원특별자치도 강릉시 사천면 방동리 589,강원특별자치도 강릉시_분전함_20230820.csv,115
GN-CTL-7f447f072d,gangneung,GN-CAB-7f447f072d,KNC,YB,52,0,GMC-200S,3,52,-20.0,5.0,220.0,1,10,37.8917754,128.8281836,강원특별자치도 강릉시 주문진읍 주문리 312-522,강원특별자치도 강릉시_분전함_20230820.csv,116
GN-CTL-e7d1c47ec2,gangneung,GN-CAB-e7d1c47ec2,KNI,YB,52,0,GMC-200,3,52,-15.0,10.0,220.0,1,5,37.8917797,128.8281808,강원특별자치도 강릉시 주문진읍 주문리 312-200,강원특별자치도 강릉시_분전함_20230820.csv,117
GN-CTL-cb2613d334,gangneung,GN-CAB-cb2613d334,KNI,YB,53,0,GMC-200,3,0,-15.0,5.0,220.0,0,5,37.7719104,128.948488,강원특별자치도 강릉시 견소동 163,강원특별자치도 강릉시_분전함_20230820.csv,118
GN-CTL-6e3dd14d70,gangneung,GN-CAB-6e3dd14d70,KNC,YB,53,0,GMC-200N,3,0,-40.0,5.0,220.0,0,27,37.7718545,128.9484728,강원특별자치도 강릉시 강원도 강릉시 송정동,강원특별자치도 강릉시_분전함_20230820.csv,119
GN-CTL-c84bb0a444,gangneung,GN-CAB-c84bb0a444,KNC,YB,54,0,GMC-200,3,0,-15.0,5.0,220.0,0,10,37.8690405,128.8453837,강원특별자치도 강릉시 연곡면 영진리,강원특별자치도 강릉시_분전함_20230820.csv,120
GN-CTL-d87be213c6,gangneung,GN-CAB-d87be213c6,KNI,YB,54,0,GMC-200,3,0,-15.0,10.0,220.0,1,60,37.8690688,128.8454069,강원특별자치도 강릉시 연곡면 영진리 72-24,강원특별자치도 강릉시_분전함_20230820.csv,121
