source_record_id,source_path,target_meter_or_cabinet,join_method,join_key,time_alignment,mapping_confidence,usable_for_gold,usable_for_silver
SRC-0022,lightguard_app/assets/data/gangneung_v02_seed.json,,field_name_only,$.objects[].ami.ami_meter_id;$.objects[].ami.ami_state;$.objects[].ami.has_real_ami;$.objects[].ami.virtual_link_mode;$.objects[].asset_info.cabinet_name;$.objects[].asset_info.cabinet_uid;$.objects[].asset_info.fixture_count;$.objects[].asset_info.fixtures[].fixture_uid;$.objects[].asset_info.fixtures[].lamp_count;$.objects[].asset_info.fixtures[].latitude;$.objects[].asset_info.fixtures[].longitude;$.objects[].asset_info.fixtures[].rated_power_w;$.objects[].asset_info.fixtures[].source_fixture_id;$.objects[].asset_info.metadata.controller_link_status;$.objects[].asset_info.metadata.controller_type;$.objects[].cabinet_uid;$.objects[].expected_load.fixture_rows;$.target_mode.target_cabinet_ids[],available,UNAVAILABLE,False,False
SRC-0023,lightguard_app/assets/data/simulation_scenarios_v02.json,,field_name_only,$.cabinet_uid;$.injection_meter_id,unavailable,UNAVAILABLE,False,False
SRC-0024,lightguard_app/assets/data/simulation_validation_results_v02.csv,,field_name_only,cabinet_uid,available,UNAVAILABLE,False,False
SRC-0025,lightguard_app/assets/data/suyeong_v02_objects.json,,field_name_only,$.ami.ami_state;$.ami.has_real_ami;$.ami.mapping_visibility.created_by;$.ami.mapping_visibility.reason;$.ami.signal_source;$.ami.virtual_link_mode;$.asset_info.cabinet_name;$.asset_info.cabinet_uid;$.asset_info.fixture_count;$.asset_info.fixtures[].lamp_count;$.asset_info.fixtures[].lamp_watt;$.asset_info.fixtures[].latitude;$.asset_info.fixtures[].longitude;$.asset_info.fixtures[].rated_power_w;$.asset_info.fixtures[].road_name;$.asset_info.fixtures[].source_fixture_id;$.asset_info.metadata.controller_link_status;$.asset_info.metadata.controller_type;$.asset_info.source_cabinet_key;$.cabinet_uid;$.detected_signals[].meter_id;$.expected_load.fixture_rows,available,UNAVAILABLE,False,False
SRC-0026,lightguard_app/assets/data/suyeong_v02_seed.json,,field_name_only,$.objects[].ami.ami_state;$.objects[].ami.has_real_ami;$.objects[].ami.mapping_visibility.created_by;$.objects[].ami.mapping_visibility.reason;$.objects[].ami.signal_source;$.objects[].ami.virtual_link_mode;$.objects[].asset_info.cabinet_name;$.objects[].asset_info.cabinet_uid;$.objects[].asset_info.fixture_count;$.objects[].asset_info.fixtures[].lamp_count;$.objects[].asset_info.fixtures[].lamp_watt;$.objects[].asset_info.fixtures[].latitude;$.objects[].asset_info.fixtures[].longitude;$.objects[].asset_info.fixtures[].rated_power_w;$.objects[].asset_info.fixtures[].road_name;$.objects[].asset_info.fixtures[].source_fixture_id;$.objects[].asset_info.metadata.controller_link_status;$.objects[].asset_info.metadata.controller_type;$.objects[].asset_info.source_cabinet_key;$.objects[].cabinet_uid;$.objects[].detected_signals[].meter_id;$.objects[].expected_load.fixture_rows;$.source_semantics.real_municipal_ami_mappings;$.target_mode.target_cabinets_3_4kw_like[],available,UNAVAILABLE,False,False
SRC-0029,lightguard_v0_1/app_seed/chungju_cabinets.json,,field_name_only,$.cabinet_name;$.cabinet_uid;$.controller_link_status;$.source_cabinet_key,unavailable,UNAVAILABLE,False,False
SRC-0030,lightguard_v0_1/app_seed/demo_ami_events.json,B-L-13;B-L-14;B-L-35;B-L-9,exact_target_meter_value,$.meter_id,unavailable,PARTIAL,False,False
SRC-0031,lightguard_v0_1/app_seed/demo_ami_meters.json,B-L-12;B-L-13;B-L-14;B-L-35;B-L-9,exact_target_meter_value,$.meter_id,unavailable,PARTIAL,False,False
SRC-0032,lightguard_v0_1/app_seed/gangneung_cabinets.json,,field_name_only,$.cabinet_name;$.cabinet_uid;$.controller_link_status;$.controller_type;$.fixture_rows;$.source_cabinet_key,unavailable,UNAVAILABLE,False,False
SRC-0033,lightguard_v0_1/app_seed/gangneung_controllers.json,,field_name_only,$.cabinet_code;$.cabinet_seq;$.cabinet_uid;$.controller_uid,available,UNAVAILABLE,False,False
SRC-0034,lightguard_v0_1/app_seed/gangneung_fixtures.json,,field_name_only,$.cabinet_uid;$.controller_type;$.fixture_uid;$.source_cabinet_key;$.source_fixture_id,unavailable,UNAVAILABLE,False,False
SRC-0035,lightguard_v0_1/app_seed/municipalities.json,,field_name_only,$.cabinet_count;$.fixture_rows,available,UNAVAILABLE,False,False
SRC-0036,lightguard_v0_1/app_seed/suyeong_cabinets.json,,field_name_only,$.cabinet_name;$.cabinet_uid;$.controller_link_status;$.controller_type;$.fixture_rows;$.source_cabinet_key,unavailable,UNAVAILABLE,False,False
SRC-0037,lightguard_v0_1/app_seed/suyeong_fixtures.json,,field_name_only,$.cabinet_uid;$.controller_type;$.fixture_uid;$.source_cabinet_key;$.source_fixture_id,unavailable,UNAVAILABLE,False,False
SRC-0038,lightguard_v0_1/app_seed/suyeong_v02_seed.json,,field_name_only,$.objects[].ami.ami_state;$.objects[].ami.has_real_ami;$.objects[].ami.mapping_visibility.created_by;$.objects[].ami.mapping_visibility.reason;$.objects[].ami.signal_source;$.objects[].ami.virtual_link_mode;$.objects[].asset_info.cabinet_name;$.objects[].asset_info.cabinet_uid;$.objects[].asset_info.fixture_count;$.objects[].asset_info.fixtures[].lamp_count;$.objects[].asset_info.fixtures[].lamp_watt;$.objects[].asset_info.fixtures[].latitude;$.objects[].asset_info.fixtures[].longitude;$.objects[].asset_info.fixtures[].rated_power_w;$.objects[].asset_info.fixtures[].road_name;$.objects[].asset_info.fixtures[].source_fixture_id;$.objects[].asset_info.metadata.controller_link_status;$.objects[].asset_info.metadata.controller_type;$.objects[].asset_info.source_cabinet_key;$.objects[].cabinet_uid;$.objects[].detected_signals[].meter_id;$.objects[].expected_load.fixture_rows;$.source_semantics.real_municipal_ami_mappings;$.target_mode.target_cabinets_3_4kw_like[],available,UNAVAILABLE,False,False
SRC-0039,lightguard_v0_1/data/ami_cabinet_mappings.csv,,field_name_only,meter_id;cabinet_uid,unavailable,UNAVAILABLE,False,False
